straat,huisnummer,huisletter,huistoevoeging,woonplaats,postcode,oppervlakte,gebruiksdoel,full_address
Otto Zomerweg,37,,,Hollandscheveld,7913 AE,111,woonfunctie,Otto Zomerweg 37   7913 AE Hollandscheveld
Graveurstraat,25,,,Alkmaar,1825EG,98,woonfunctie,Graveurstraat 25   1825EG Alkmaar
Sleutelbloem,64,,,Nootdorp,2631TZ,121,woonfunctie,Sleutelbloem 64   2631TZ Nootdorp
Europastraat,13,a,,Dinteloord,4671ET,96,woonfunctie,Europastraat 13 a  4671ET Dinteloord
Weerdskampweg,60,,,'s-Hertogenbosch,5222 BA,28,industriefunctie,Weerdskampweg 60   5222 BA 's-Hertogenbosch
Julianastraat,51,,,Oldenzaal,7573AG,82,woonfunctie,Julianastraat 51   7573AG Oldenzaal
Gillis van Ledenberchstraat,97,,1,Amsterdam,1052 VC,44,woonfunctie,Gillis van Ledenberchstraat 97  1 1052 VC Amsterdam
Musicalstraat,3,B,,Almere,1323VR,75,industriefunctie,Musicalstraat 3 B  1323VR Almere
Groenhof,5,,,Huizen,1275 BB,126,woonfunctie,Groenhof 5   1275 BB Huizen
Cornelis Schuytstraat,41,,,Eindhoven,5654 HT,99,woonfunctie,Cornelis Schuytstraat 41   5654 HT Eindhoven
Gentiaanstraat,4,,,Assen,9404GN,105,woonfunctie,Gentiaanstraat 4   9404GN Assen
Generaal Smutslaan,656,,,Tilburg,5025 AL,10,overige gebruiksfunctie,Generaal Smutslaan 656   5025 AL Tilburg
Edo Jongamastraat,85,,,Sneek,8602 VV,76,woonfunctie,Edo Jongamastraat 85   8602 VV Sneek
Valkenburgerweg,142,,,Heerlen,6419AW,120,woonfunctie,Valkenburgerweg 142   6419AW Heerlen
